Name;Year;Theme;Theme_Group;Subtheme;Category;Packaging;Availability;Pieces;Minifigures;Owned
Special Three-Set Space Pack;1983;Space;Action/Adventure;Bonus/Value Pack;Collection;{Not specified};{Not specified};820;;1210
Town Value Pack;1983;Town;Modern day;Bonus/Value Pack;Collection;Box;Retail - limited;1000;;750
Town 3-Pack;1984;Town;Modern day;Bonus/Value Pack;Collection;Box;Retail - limited;970;;490
Town Value Pack;1984;Town;Modern day;Product Collection;Collection;{Not specified};{Not specified};780;;220
Space Value Pack;1984;Space;Action/Adventure;Bonus/Value Pack;Collection;Blister pack;{Not specified};970;;710
Town Value Pack;1985;Town;Modern day;Bonus/Value Pack;Collection;Box;Retail - limited;1490;;450
Space Value Pack;1985;Space;Action/Adventure;Bonus/Value Pack;Collection;Box;Retail - limited;1510;;820
Town Value Pack;1985;Town;Modern day;Bonus/Value Pack;Collection;Box;Retail - limited;970;;340
Space Value Pack;1985;Space;Action/Adventure;Bonus/Value Pack;Collection;Box;Retail - limited;840;;760
House and Car Building Sets;1986;Duplo;Pre-school;Bonus/Value Pack;Collection;Other;Unknown;200;;170
Town Value Pack;1986;Town;Modern day;Bonus/Value Pack;Collection;Box;Retail - limited;880;;1180
Special Two-Set Space Pack;1986;Space;Action/Adventure;Bonus/Value Pack;Collection;Box;Retail - limited;960;;1580
2 For 1 Bonus Offer;1987;Castle;Historical;Bonus/Value Pack;Collection;Box;Retail - limited;1510;;1090
Two Pick Set;1987;Town;Modern day;Bonus/Value Pack;Collection;Box;Retail - limited;1610;;130
Town Value Pack;1987;Town;Modern day;Bonus/Value Pack;Collection;Box;Retail - limited;1610;;990
Special Two-Set Space Pack;1987;Space;Action/Adventure;Bonus/Value Pack;Collection;Box;Retail - limited;1510;;1200
Space Value Pack;1988;Space;Action/Adventure;Bonus/Value Pack;Collection;Box;Retail - limited;830;;900
Town Value Pack;1989;Town;Modern day;Bonus/Value Pack;Collection;Box;Retail - limited;1050;;560
Special Two-Set Space Pack;1989;Space;Action/Adventure;Bonus/Value Pack;Collection;Box;Retail - limited;1320;;770
Triple Pack;1989;Assorted;Miscellaneous;;Collection;Box;Retail - limited;1590;;2670
Double Pack;1989;Pirates;Historical;Bonus/Value Pack;Collection;{Not specified};{Not specified};450;;4490
Three Set Bonus Pack;1990;Assorted;Miscellaneous;Bonus/Value Pack;Collection;Box with backing card;Retail - limited;1500;;1790
Helicopter;1990;Town;Modern day;Special;Collection;Box;Promotional;270;;400
Racer;1990;Town;Modern day;Special;Collection;Box;Promotional;230;;150
Tractor Loader;1990;Town;Modern day;Special;Collection;Box;Promotional;240;;450
Five Set Bonus Pack;1991;Assorted;Miscellaneous;Bonus/Value Pack;Collection;Box with backing card;Retail - limited;1580;;3020
Four Set Value Pack;1992;Assorted;Miscellaneous;Bonus/Value Pack;Collection;Other;Retail - limited;1600;50;5840
Castle Value Pack;1993;Castle;Historical;Bonus/Value Pack;Collection;Box;Retail - limited;1170;;2600
Magical Adventure Pack;1993;Castle;Historical;Bonus/Value Pack;Collection;Box;Retail - limited;2040;;310
Five Set Bonus Pack;1993;Assorted;Miscellaneous;Bonus/Value Pack;Collection;Box;Retail - limited;1560;;3290
Race Value Pack;1993;Town;Modern day;Bonus/Value Pack;Collection;Box;Retail - limited;2200;;1260
Blacktron II Space Value Pack;1993;Space;Action/Adventure;Bonus/Value Pack;Collection;Box;Retail - limited;2090;;1090
Cactus Canyon Value Pack;1994;Town;Modern day;Bonus/Value Pack;Collection;Box;Retail - limited;1330;;6610
Sandypoint Marina Value Pack;1994;Town;Modern day;Bonus/Value Pack;Collection;Box;Retail - limited;1550;;4950
Town / Space Value Pack;1994;Assorted;Miscellaneous;Bonus/Value Pack;Collection;Box;Retail - limited;1060;;7400
Castle / Pirates Value Pack;1994;Assorted;Miscellaneous;Bonus/Value Pack;Collection;Box;Retail - limited;720;;5760
Barnacle Bay Value Pack;1994;Pirates;Historical;Bonus/Value Pack;Collection;Box;Retail - limited;890;;7730
Special Bonus Pack;1994;Assorted;Miscellaneous;Bonus/Value Pack;Collection;Box;Retail - limited;880;;230
Value Pack Italy;1995;Assorted;Miscellaneous;;Collection;{Not specified};{Not specified};910;;230
Value Pack Italy;1995;Town;Modern day;Product Collection;Collection;{Not specified};{Not specified};1560;;320
Space/Castle value pack;1996;Assorted;Miscellaneous;Bonus/Value pack;Collection;Box;Retail - limited;480;20;7320
Pneumatic Value Pack;1996;Service Packs;Miscellaneous;Technic;Collection;Polybag;LEGO exclusive;90;;260
UFO Action Pack;1997;Space;Action/Adventure;UFO;Collection;Box;Retail - limited;940;;310
Search Sub;1997;Technic;Technical;;Collection;Box;Retail;0;10;9620
Advent Calendar;1998;Classic;Basic;;Collection;Box;Retail - limited;1580;;3380
Insectoids Combined Set;1998;Space;Action/Adventure;Bonus/Value Pack;Collection;Box;Promotional;1720;;900
Big Value Collectors' Bucket;1998;Space;Action/Adventure;Insectoids;Collection;Bucket;{Not specified};1540;;80
Action Pack;1998;Town;Modern day;Product Collection;Collection;Box;Retail - limited;910;;430
Competition Racers and Stop Watch;1998;Technic;Technical;Product collection;Collection;Box;Retail - limited;;;760
World Cup Starter Set;1998;Town;Modern day;Product Collection;Collection;Box;Retail - limited;70;;1430
Space Port Value Pack;1999;Town;Modern day;Bonus/Value Pack;Collection;Box;Retail - limited;1290;;2020
Team Transport;2000;Sports;Modern day;Football;Collection;Box;Retail;1310;60;4490
Polar Explorer;2000;Town;Modern day;Bonus/Value Pack;Collection;Box;Retail - limited;780;;5060
Alien Discovery;2001;Space;Action/Adventure;Life On Mars;Collection;Box;Retail - limited;1220;;2080
Soccer Co-Pack;2001;Sports;Modern day;Product Collection;Collection;Box;Retail;1290;;860
Football Co-Pack;2001;Sports;Modern day;Product Collection;Collection;Box;Retail - limited;1250;;110
Adidas Team Transport;2002;Sports;Modern day;Football;Collection;Box;Retail;1330;60;2870
Racers Turbo Pack;2002;Racers;Racing;Product Collection;Collection;Box;Retail - limited;860;;700
Bionicle Dual Pack: Lehvak & Pahrak;2002;Bionicle;Constraction;Product Collection;Collection;Box;Retail;820;;660
R2-D2 / C-3PO Droid Collectors Set;2002;Star Wars;Licensed;Product Collection;Collection;Box;{Not specified};5810;;3870
Alpha Team Secret Mission Collector's Pack;2002;Alpha Team;Action/Adventure;Product Collection;Collection;Box;Retail - limited;2410;;580
X-wing Fighter / TIE Fighter & Y-wing Collectors Set;2002;Star Wars;Licensed;Product Collection;Collection;Box;Retail - limited;6770;;700
Jango Fett's Slave I with Bonus Cargo Case;2002;Star Wars;Licensed;Product Collection;Collection;Box;Retail - limited;3690;;2580
Bonus/Value Pack;2002;Trains;Modern day;Product Collection;Collection;{Not specified};{Not specified};9510;;140
Takutanuva;2003;Bionicle;Constraction;Warriors;Collection;{Not specified};{Not specified};3990;;5570
Slam Dunk Trainer (Kabaya Co-Pack);2003;Sports;Modern day;Basketball;Collection;Shrink-wrapped;Retail - limited;190;10;50
Practice Shooting (Kabaya Co-Pack);2003;Sports;Modern day;Basketball;Collection;Shrink-wrapped;Retail - limited;170;10;40
Jump and Shoot (Kabaya Co-Pack);2003;Sports;Modern day;Basketball;Collection;Shrink-wrapped;Retail - limited;170;10;40
Happy Constructor;2003;Explore;Pre-school;Together;Collection;{Not specified};{Not specified};90;10;260
Emergency Vehicles Set;2003;Explore;Pre-school;Together;Collection;{Not specified};{Not specified};90;30;300
Ultimate Wheels;2003;Creator;Model making;Designer Set;Collection;Box;Retail;5140;;1590
Mech Lab;2003;Creator;Model making;Designer Set;Collection;Box;Retail;5540;;4290
Takutanuva;2003;Bionicle;Constraction;Warriors;Collection;{Not specified};{Not specified};3990;;3220
Slammer Stadium;2003;Sports;Modern day;Product Collection;Collection;Box;Retail;220;;1620
Street Basketball set with Spalding mini-basketball;2003;Sports;Modern day;Product Collection;Collection;Box;Retail;1860;;620
Rahkshi Kaita Za Pack;2003;Bionicle;Constraction;Product Collection;Collection;Box;Retail - limited;1620;;390
Bionicle twin-pack with gold mask;2003;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};500;;410
Bionicle twin-pack with gold mask;2003;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};500;;460
Bionicle twin-pack with gold mask;2003;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};500;;390
Bonus/Value Pack;2003;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};1990;;140
Bonus/Value Pack;2003;Explore;Pre-school;Product Collection;Collection;{Not specified};{Not specified};350;;70
Bonus/Value Pack;2003;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};2400;;150
Bonus/Value Pack;2003;Creator;Model making;Product Collection;Collection;{Not specified};{Not specified};430;;80
Bonus/Value Pack;2003;Creator;Model making;Product Collection;Collection;{Not specified};{Not specified};360;;90
Bonus/Value Pack;2003;Racers;Racing;Product Collection;Collection;{Not specified};{Not specified};3060;;70
Bonus/Value Pack;2003;Creator;Model making;Product Collection;Collection;{Not specified};{Not specified};4960;;110
Star Wars MINI Bonus Pack;2003;Star Wars;Licensed;Product Collection;Collection;Box;Retail - limited;2770;;1030
Green Duplo Strata;2004;Duplo;Pre-school;;Collection;{Not specified};{Not specified};1390;;270
Ultimate Dume;2004;Bionicle;Constraction;Warriors;Collection;{Not specified};{Not specified};5520;;5760
Bonus/Value Pack;2004;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};920;;160
Bonus/Value Pack;2004;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};920;;150
Bonus/Value Pack;2004;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};970;;150
Bonus/Value Pack;2004;Castle;Historical;Product Collection;Collection;{Not specified};{Not specified};910;;130
Bonus/Value Pack;2004;Castle;Historical;Product Collection;Collection;{Not specified};{Not specified};940;;140
